song,lyrics,year
My Melody,,1987
South Bronx,,1987
"Family Tradition / Hey, Good Lookin' - Live",,1987
I'm The Man - Def Uncensored Version,,1987
Way Down In The Hole,,1987
The Overweight Lovers In The House,,1987
Master Of The House,,1987
Do Your Ears Hang Low?,,1987
I Ain't No Joke,,1987
Cinderfella Dana Dane,,1987
Behind the Wall,,1988
South Of Heaven,,1988
Still Talkin',,1988
Something Like That,,1988
Tougher Than Leather,,1988
La Cumbia Del Lazo,,1988
Fuck Tha Police,,1988
Christmas In Hollis,,1988
No More ?'s,,1988
Boyz-N-The-Hood - Remix,,1988
Gangsta Gangsta,,1988
Express Yourself,,1988
South Of Heaven,,1988
Eazy-Duz-It,,1988
Posse On Broadway,,1988
You Gots To Chill,,1988
Don't Believe The Hype,,1988
Dopeman - Remix,,1988
Express Yourself,,1988
Hey Young World,,1988
Square Dance Rap,,1988
Beats to the Rhyme,,1988
Set The World Afire - Remastered,,1988
Black Steel In The Hour Of Chaos,,1988
The Ruler's Back,,1988
Funky Dividends,,1988
Set It Off,,1988
Something 2 Dance 2,,1988
Run's House,,1988
Brand New Funk,,1988
Ain't No Half-Steppin',,1988
Quiet On Tha Set,,1988
Compton's N The House - Remix,,1988
Parental Discretion Iz Advised,,1988
Nobody Move,,1988
El Jardinero,,1988
Straight Outta Compton,,1988
8 Ball - Remix,,1988
Strictly Business,,1988
One And One,,1988
Eazy-er Said Than Dunn,,1988
Bring The Noise,,1988
We Want Eazy,,1988
Hey Young World,,1988
Rebel Without A Pause,,1988
I Ain't Tha 1,,1988
Microphone Fiend,,1988
Mona Lisa,,1988
Parents Just Don't Understand - Edit,,1988
If It Ain't Ruff,,1988
Peek-A-Boo,,1988
Top Billin - Acapella,,1988
When The Saints Go Marching In,,1989
Ladies First,,1989
B-Boy Bouillabaisse: Hello Brooklyn,,1989
What Comes Around,,1989
Express Yourself - Extended Mix,,1989
Dindi - Live,,1989
The Gas Face,,1989
Los Hijos De Hernandez,,1989
"Teas'n, Pleas'n",,1989
Doin' Our Own Dang,,1989
3-Minute Rule,,1989
Smooth Operator,,1989
Hey Ladies,,1989
Sympathy For The Devil,,1989
Kickstart My Heart,,1989
I Got It Made,,1989
A Bitch Iz A Bitch,,1989
Freaky Tales,,1989
Egg Man,,1989
Nobody Weird Like Me - Remastered,,1989
Life Is ...Too $hort,,1989
"Warm It Up, Kane",,1989
High Plains Drifter,,1989
So Wat Cha Sayin',,1989
Reefer Man,,1989
Everlasting Bass,,1989
Don't Fight the Feelin',,1989
Car Thief,,1989
The Sounds Of Science,,1989
My Hooptie,,1989
Going Back To Cali,,1989
Me So Horny,,1989
The Toxic Waltz,,1989
Once Upon A Time In The Projects,,1990
Can I Kick It?,,1990
The Humpty Dance,,1990
Around The Way Girl,,1990
The Ghetto,,1990
Around The Way Girl,,1990
You Can't Bring Me Down,,1990
The Nigga Ya Love To Hate,,1990
Youthful Expression,,1990
After Hours,,1990
Sacrificial Suicide,,1990
Love's Gonna Get'cha (Material Love),,1990
Toys For Tots - Remastered,,1990
The Boomin' System,,1990
If I Don't Have You - 1990 Digital Remaster,,1990
Push It Along,,1990
911 Is A Joke,,1990
100 Miles And Runnin',,1990
A Gangsta's Fairytale,,1990
Fight The Power,,1990
The Happiest Christmas Tree - Remastered,,1990
Freaks of the Industry,,1990
I Ain't Got Nobody,,1990
I Left My Wallet in El Segundo,,1990
Welcome To The Terrordome,,1990
Wolf Creek Pass,,1990
On A Sunday Afternoon,,1990
Luchini Aka This Is It,,1990
The International Herb,,1990
Been Caught Stealing,,1990
Jackin' For Beats,,1990
We Are In Love,,1990
Played Like A Piano,,1990
Can I Kick It? - J. Cole Remix,,1990
Knockin' Boots,,1990
Dead Skin Mask,,1990
Late Night Hype,,1990
Bonita Applebum - includes 'Can I Kick It' Intro,,1990
Had A Dat,,1991
Verses from the Abstract,,1991
Born and Raised In Compton,,1991
Uptown Anthem,,1991
Bring Tha Noize,,1991
La Dieta,,1991
Anoche Estuve Llorando,,1991
How To Survive In South Central,,1991
More Than A Player,,1991
En Un Jaripeo,,1991
Shut Em Down,,1991
I Don't Give A Fuck,,1991
Treat 'Em Right,,1991
Shotgun Blues,,1991
Stoned Is the Way of the Walk,,1991
"Findum, Fuckum And Flee",,1991
Funky Drummer,,1991
Niggaz 4 Life,,1991
Just The Two Of Us,,1991
La Schmoove,,1991
Sunny Meadowz,,1991
Main Theme: The Addams Family - Vocal Version,,1991
Mr. Hood at Piocallee Jewelry / Crackpot,,1991
Hot Pants (She Got To Use What She Got To Get What She Wants),,1991
Get In The Ring,,1991
I'm Not Your Puppet,,1991
Rap Promoter,,1991
Oh I'm A Good Old Rebel,,1991
Flavor Of The Month,,1991
Mind Playing Tricks on Me,,1991
Check the Rhime,,1991
The Choice Is Yours (Revisited),,1991
Buggin' Out,,1991
Jazz (We've Got),,1991
Get Up Offa That Thing,,1991
Ain't No Future In Yo' Frontin',,1991
Infamous Date Rape,,1991
La Llama,,1991
"Gaston (Reprise) - From ""Beauty and the Beast""/Soundtrack Version",,1991
Show Business,,1991
Pin the Tail on the Donkey,,1991
Poor Georgie,,1991
Hand On the Pump,,1991
What?,,1991
What Happened,,1992
Pass The Mic - Remastered 2009,,1992
Oh Shit,,1992
Time 4 Sumaksion,,1992
I'm That Type Of Nigga,,1992
Tan Bonita,,1992
Get the Gat,,1992
D.J.'s,,1992
Hood Took Me Under,,1992
Ting-A-Ling,,1992
Christmas Is,,1992
The Day The Niggaz Took Over,,1992
They Want EFX,,1992
Deeez Nuuuts,,1992
Things In Life,,1992
La Carcacha,,1992
Stranded On Death Row,,1992
Stand By Me,,1992
Jerk-Off - Live,,1992
Otha Fish,,1992
Killing In the Name,,1992
Take The Power Back,,1992
So What'Cha Want - Remastered 2009,,1992
Bitches Ain't Shit,,1992
Date Rape,,1992
Waiting For My Ruca,,1992
Rump Shaker,,1992
Tonight's Da Night,,1992
"Nuthin' But A ""G"" Thang",,1992
Killing In The Name,,1992
Baby Got Back,,1992
Passin' Me By,,1992
New Thrash,,1992
Pack The Pipe,,1992
Straighten It Out,,1992
Chica Me Tipo,,1992
Don't Push,,1992
Rat-Tat-Tat-Tat,,1992
Everything's Gonna Be Alright,,1992
Smoke Pot,,1992
Ya Mama,,1992
Pocket Full of Stones,,1992
La secretaria,,1992
We Had To Tear This Mothafucka Up,,1992
Merry Muthafuckin' Xmas,,1992
My Mind Playin Tricks on Me,,1992
Live At E's,,1992
A Nigga Witta Gun,,1992
Won't You Be My Neighbor?,,1992
A Lesson to Be Learned,,1992
Lyrical Gangbang,,1992
Mic Checka,,1992
Professor Booty - Remastered 2009,,1992
Dolly My Baby (with Mary J. Blige feat. Notorious B.I.G. & Third Eye) - Extended Hip Hop Remix,,1992
Oh My God,,1993
When the Sh-- Goes Down,,1993
Pistol Packin' Mama - Single Version,,1993
Can It Be All So Simple / Intermission,,1993
Piru Love,,1993
Bring Da Ruckus,,1993
Award Tour,,1993
Protect Ya Neck,,1993
Wu-Tang Clan Ain't Nuthing ta F' Wit,,1993
93 'Til Infinity,,1993
Insane in the Brain,,1993
Keep Ya Head Up,,1993
Rebirth Of Slick (Cool Like Dat),,1993
Captain Save A Hoe,,1993
Smoke Dope and Rap,,1993
Keep It Rollin',,1993
Protect Ya Neck - Shao Lin Version,,1993
Mr. Big,,1993
The Thanksgiving Song,,1993
God Lives Through,,1993
Blowjob Betty,,1993
Clan In Da Front,,1993
I'm a Player - Street Version,,1993
Whatta Man,,1993
Method Man - Home Grown Version,,1993
Clap Your Hands,,1993
La Femme Fetal,,1993
Indo Smoke,,1993
"The Chase, Part II",,1993
Doggy Dogg World (feat. Tha Dogg Pound & The Dramatics),,1993
Wu-Tang: 7th Chamber,,1993
I Wanna Get High,,1993
Where I'm From,,1993
G'z And Hustlaz,,1993
Gotta Get Mine,,1993
Sound of da Police,,1993
Chief Rocka,,1993
Da Mystery of Chessboxin',,1993
Method Man,,1993
Shame On a Nigga,,1993
None Of Your Business,,1993
Electric Relaxation,,1993
We Roll Deep,,1993
Gimmie That Nutt,,1993
Three Little Pigs,,1993
Wu-Tang: 7th Chamber - Part II - Conclusion,,1993
8 Million Stories,,1993
For All My Niggaz And Bitches (feat. Tha Dogg Pound & Lady of Rage),,1993
Throw Ya Gunz,,1993
Doin What I Do (Mac Dre's The Name),,1993
Down With the King,,1993
9 Little Millimeta Boys,,1993
Player's Ball,,1993
Midnight Marauders Tour Guide,,1993
"El Perro, el Gato y Yo",,1993
Born To Roll - Jeep Ass Niguh Remix,,1993
La Carcacha,,1993
Provócame,,1993
Under My Sensi,,1993
Steve Biko (Stir It Up),,1993
"Pacifics (Sdtrk ""N.Y. Is Red Hot"")",,1993
Sucka Nigga,,1993
Real Muthaphuckkin G's,,1993
Loungin',,1993
24 Deep,,1993
N.Y. State of Mind,,1994
All Night Long,,1994
Here Comes The Hotstepper - Heartical Mix,,1994
Mass Appeal,,1994
Player's Ball,,1994
It Ain't Hard to Tell,,1994
Machine Gun Funk - 2006 Remaster,,1994
"Flava in Ya Ear Remix (feat. Notorious B.I.G., L.L. Cool J, Busta Rhymes, Rampage)",,1994
Tootsee Roll (Dance Version),,1994
Warning - 2005 Remaster,,1994
Life's a Bitch (feat. AZ & Olu Dara),,1994
I'd Rather Be with You,,1994
The What,,1994
Everyday Struggle - 2005 Remaster,,1994
Cisco Kid,,1994
B-Boys Makin' With The Freak Freak - Remastered 2009,,1994
Respect - 2005 Remaster,,1994
Blue Bird,,1994
Back in the Day - Remix,,1994
Just a Friend,,1994
Suicidal Thoughts - 2005 Remaster,,1994
Check Yo Self - Remix,,1994
Gimme the Loot - 2005 Remaster,,1994
C'Mon wit da Git Down,,1994
Flute Loop - Remastered 2009,,1994
Tootsee Roll,,1994
All I Need,,1994
Friend of Mine - 2005 Remaster,,1994
Wrong Side of da Tracks,,1994
Sure Shot - Remastered 2009,,1994
Rock 'n' Roll Lifestyle,,1994
Dog It,,1994
N.Y. State of Mind,,1994
Big Poppa - 2005 Remaster,,1994
Anda Borracho El Buey,,1994
Under Pressure,,1994
Str8 Ballin',,1994
Big Poppa - 2005 Remaster,,1994
Got Me Waiting,,1994
Intro - 2005 Remaster,,1994
Big Poppa - 2005 Remaster,,1994
Juicy - 2005 Remaster,,1994
Who Shot Ya? - 2005 Remaster,,1994
One Time 4 Your Mind,,1994
Get It Together,,1994
Sittin' In My Car,,1994
Unbelievable - 2005 Remaster,,1994
Juicy - 2005 Remaster,,1994
Missing You,,1994
Come Clean - E New Y Radio,,1994
Pour Out A Little Liquor,,1994
Las habas,,1994
Ain't No Thang,,1994
One Love (feat. Q-Tip),,1994
Crumblin' Erb,,1994
"Git Up, Git Out (feat. Goodie Mob)",,1994
Nappy Heads - Remix,,1994
"You Don't Love Me (No, No, No) - Extended Mix",,1994
Behind Bars,,1994
Flava in Ya Ear,,1994
Memory Lane (Sittin' in da Park),,1994
